ID,location,date,time,total,new 
1,Busan,2020-02-25,9:00,38,15
2,Chung-buk,2020-02-25,9:00,3,0
3,Chung-nam,2020-02-25,9:00,1,0
4,Daegu,2020-02-25,9:00,499,57
5,Daejeon,2020-02-25,9:00,3,1
6,Gangwon,2020-02-25,9:00,6,0
7,Gwangju,2020-02-25,9:00,9,0
8,Gyeonggi,2020-02-25,9:00,40,7
9,Gyeong-buk,2020-02-25,9:00,225,45
10,Gyeong-nam,2020-02-25,9:00,21,1
11,Incheon,2020-02-25,9:00,2,0
12,Jeju,2020-02-25,9:00,2,0
13,Jeon-buk,2020-02-25,9:00,3,0
14,Jeon-nam,2020-02-25,9:00,2,0
15,Sejong,2020-02-25,9:00,1,0
16,Seoul,2020-02-25,9:00,36,3
17,Ulsan,2020-02-25,9:00,2,1
1,Busan,2020-02-26,9:00,50,13
2,Chung-buk,2020-02-26,9:00,5,2
3,Chung-nam,2020-02-26,9:00,2,1
4,Daegu,2020-02-26,9:00,677,178
5,Daejeon,2020-02-26,9:00,3,0
6,Gangwon,2020-02-26,9:00,6,0
7,Gwangju,2020-02-26,9:00,9,0
8,Gyeonggi,2020-02-26,9:00,43,3
9,Gyeong-buk,2020-02-26,9:00,268,42
10,Gyeong-nam,2020-02-26,9:00,25,4
11,Incheon,2020-02-26,9:00,3,1
12,Jeju,2020-02-26,9:00,2,0
13,Jeon-buk,2020-02-26,9:00,3,0
14,Jeon-nam,2020-02-26,9:00,1,0
15,Sejong,2020-02-26,9:00,1,0
16,Seoul,2020-02-26,9:00,45,8
17,Ulsan,2020-02-26,9:00,3,1
1,Busan,2020-02-27,9:00,58,8
2,Chung-buk,2020-02-27,9:00,7,2
3,Chung-nam,2020-02-27,9:00,7,5
4,Daegu,2020-02-27,9:00,1017,340
5,Daejeon,2020-02-27,9:00,8,5
6,Gangwon,2020-02-27,9:00,6,0
7,Gwangju,2020-02-27,9:00,9,0
8,Gyeonggi,2020-02-27,9:00,55,12
9,Gyeong-buk,2020-02-27,9:00,321,53
10,Gyeong-nam,2020-02-27,9:00,36,11
11,Incheon,2020-02-27,9:00,3,0
12,Jeju,2020-02-27,9:00,2,0
13,Jeon-buk,2020-02-27,9:00,3,0
14,Jeon-nam,2020-02-27,9:00,1,0
15,Sejong,2020-02-27,9:00,1,0
16,Seoul,2020-02-27,9:00,55,10
17,Ulsan,2020-02-27,9:00,6,3
1,Busan,2020-02-28,9:00,63,5
2,Chung-buk,2020-02-28,9:00,9,2
3,Chung-nam,2020-02-28,9:00,16,9
